# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.2-dev32b

2132.agree, long, 0000000000000000
lsm66.totalm, long, 0000000000000000
lsm66.agree, long, 0000000000000000
playercount, long, FFFFFFFFFFFFFFF7
playercount, long, FFFFFFFFFFFFFFF6
motian_dada.totalc, long, 0000000000000000
motian_dada.totalm, long, 0000000000000000
motian_dada.agree, long, 0000000000000000
playercount, long, FFFFFFFFFFFFFFF7
grunt.coin, long, 0000000000000001
grunt.firstjoin, long, 0000000000000001
grunt.totalc, long, 0000000000000000
grunt.totalm, long, 0000000000000000
grunt.agree, long, 0000000000000000
playercount, long, FFFFFFFFFFFFFFF8
playercount, long, FFFFFFFFFFFFFFF7
grunt.totalc, long, 0000000000000000
grunt.totalm, long, 0000000000000000
grunt.agree, long, 0000000000000000
playercount, long, FFFFFFFFFFFFFFF8
playercount, long, FFFFFFFFFFFFFFF7
playercount, long, FFFFFFFFFFFFFFF6
123grunt.coin, long, 0000000000000001
123grunt.firstjoin, long, 0000000000000001
123grunt.totalc, long, 0000000000000000
123grunt.totalm, long, 0000000000000000
123grunt.agree, long, 0000000000000000
playercount, long, FFFFFFFFFFFFFFF7
playercount, long, FFFFFFFFFFFFFFF6
123grunt.totalc, long, 0000000000000000
123grunt.totalm, long, 0000000000000000
123grunt.agree, long, 0000000000000000
playercount, long, FFFFFFFFFFFFFFF7
louyixuan134679.coin, long, 0000000000000001
louyixuan134679.firstjoin, long, 0000000000000001
louyixuan134679.totalc, long, 0000000000000000
louyixuan134679.totalm, long, 0000000000000000
louyixuan134679.agree, long, 0000000000000000
playercount, long, FFFFFFFFFFFFFFF8
bug_nishimiya.totalc, long, 0000000000000000
bug_nishimiya.totalm, long, 0000000000000000
bug_nishimiya.agree, long, 0000000000000000
playercount, long, FFFFFFFFFFFFFFF9
fbfbfb.coin, long, 0000000000000001
fbfbfb.firstjoin, long, 0000000000000001
fbfbfb.totalc, long, 0000000000000000
fbfbfb.totalm, long, 0000000000000000
fbfbfb.agree, long, 0000000000000000
playercount, long, FFFFFFFFFFFFFFFA
playercount, long, FFFFFFFFFFFFFFF9
playercount, long, FFFFFFFFFFFFFFF8
louyixuan134679.totalc, long, 0000000000000000
louyixuan134679.totalm, long, 0000000000000000
louyixuan134679.agree, long, 0000000000000000
playercount, long, FFFFFFFFFFFFFFF9
